"","15_24","25_44","45_64","65_89","White","Mixed","Asian","Black","Other","unemployed","emplyment","nonstudent","student"
"47",32578.1743311,62561.917026,77710.758912,54451.612719,266915.394126,2821.8533031,2720.786139,796.427883,714.511152,14214.2514363,259754.7485637,273941.1099558,27.8900442
"48",21492.900865,44662.67353,48063.601075,30324.71802,171972.148745,1179.6512465,1765.100515,248.198075,240.129445,9590.268375,165814.731625,175365.6215775,39.3784225
"49",37938.2013801,76944.146601,88772.998209,58122.698662,310208.307115,3286.5490609,5117.072163,695.005801,529.969909,17835.1345984,302001.8654016,319786.9455095,50.0544905
"50",36228.7873249,75529.337313,99623.115929,68484.13599,328273.717567,2304.3909415,2965.20278,598.729997,530.791378,12170.3501777,322502.6498223,334591.1055169,81.8944831
"51",41410.3508245,72301.986162,61493.083316,34217.264431,241054.771664,3450.1817084,6463.776151,2992.797255,2161.67812,21820.3733727,234302.6266273,253015.7413763,3107.2586237
"52",20807.3845965,39818.7408,42544.618575,27035.14875,155536.84473,1186.8789705,2130.705165,411.317625,469.30143,10857.890784,148877.109216,159663.9658455,71.0341545
"53",19685.3244596,41653.355948,46904.647516,28829.001052,160815.192484,1244.5266188,4550.907172,494.1722,411.25178,8420.3760076,159095.6239924,167506.5185944,9.4814056
"54",33797.0601485,52905.370236,48013.998863,31715.097399,186478.317069,2409.7287371,6730.951056,1192.433707,971.707879,5786.0427735,191996.9572265,193443.9574328,4339.0425672
"55",5638.0839498,11686.542316,16968.291099,11973.819936,54012.684739,375.3409661,970.865254,61.060359,39.043136,1381.7665309,54077.2334691,55452.234002,6.765998
"56",9657.7874108,19540.762568,26988.1224,18518.49335,88089.159832,596.077305,603.111062,188.970618,124.636382,2183.2333718,87418.7666282,89599.6524276,2.3475724
"57",16859.6403059,38923.670436,44891.262017,29355.561585,152859.175217,1785.1520134,2421.343897,1152.990678,464.306458,3815.4692618,154867.5307382,158664.1008547,18.8991453
"58",7978.9662459,13162.528444,13949.044564,8910.065983,50816.721254,514.7684061,1278.728139,508.624415,168.173772,1493.0591104,51793.9408896,53287,0
"59",5404.8168183,10597.017637,15902.506064,11545.569784,51204.120425,302.8267908,273.735575,80.226578,32.069874,1423.6377513,50469.3622487,51893,0
"60",12801.132333,22645.912245,31884.037845,24091.10913,106047.397005,868.531686,1363.31943,239.86941,215.838975,4615.4854185,104119.5145815,108367.671423,367.328577
"61",9471.138561,20959.602984,24791.068404,13418.734311,82173.403773,626.7361752,493.595676,212.20938,41.021577,2892.9485502,80654.0514498,83547,0
"62",28000.6898085,60338.69268,63396.06457,38716.585835,226915.14598,1634.5323175,1665.71816,1224.479065,425.24041,12935.887469,218929.112531,231800.54153,64.45847
"63",38362.4096484,78514.038504,80728.7092,49125.642688,288128.899524,3321.7338228,7615.539304,2337.472704,1064.082424,18086.981464,284381.018536,302410.6218204,57.3781796
"64",31496.8640264,65406.774504,69769.133236,43099.908408,241165.993912,2555.3314548,10568.93316,2115.590644,1310.228144,14606.6470468,243109.3529532,257694.5838004,21.4161996
